_step,cos_V_v,cos_u_v,dit_learning_rate,dudt_norm,loss,raw_mse_V,raw_mse_vc,test_loss,val_loss/bc_z:0.1.0,val_loss/cmu_play_fusion,val_loss/dobbe,val_loss/droid,val_loss/fractal20220817_data,val_loss/libero_10_no_noops,val_loss/libero_goal_no_noops,val_loss/overall,val_loss/stanford_hydra_dataset_converted_externally_to_rlds,vlm_learning_rate,_wandb_step,raw_mse
0,0.0,0.0,1e-05,0.0,2.0,164.0,164.0,0.0,,,,,,,,,,1.0000000000000001e-07,0,2.0
100,0.13895799219608307,0.1389390230178833,1.0375000000000001e-05,0.001169174094684422,2.0,165.0,161.0,0.0,,,,,,,,,,1.04125e-07,1,2.0
200,0.2039182186126709,0.20381031930446625,1.0750000000000002e-05,0.014065041206777096,2.0,159.0,154.0,0.0,,,,,,,,,,1.0825e-07,2,2.0
300,0.29193568229675293,0.29129883646965027,1.1125000000000001e-05,0.35794442892074585,2.0,148.0,125.5,0.0,,,,,,,,,,1.1237500000000003e-07,3,2.0
400,0.48973777890205383,0.4870387315750122,1.1500000000000002e-05,1.9363698959350586,2.0,127.5,102.5,0.0,,,,,,,,,,1.1650000000000002e-07,4,2.0
500,0.6100785732269287,0.6106244325637817,1.1875e-05,3.796203374862671,2.0,108.0,99.0,0.0,,,,,,,,,,1.20625e-07,5,2.0
600,0.6839030981063843,0.6846176981925964,1.2250000000000001e-05,5.233996868133545,2.0,89.0,87.0,0.0,,,,,,,,,,1.2475e-07,6,2.0
700,0.6979643106460571,0.704278826713562,1.2625e-05,5.762492656707764,2.0,85.0,82.5,0.0,,,,,,,,,,1.28875e-07,7,2.0
800,0.6600020527839661,0.6649528741836548,1.3000000000000001e-05,5.6473541259765625,2.0,93.5,90.5,0.0,,,,,,,,,,1.33e-07,8,2.0
900,0.6972731351852417,0.7026401162147522,1.3375000000000002e-05,6.692590236663818,2.0,86.5,85.5,0.0,,,,,,,,,,1.37125e-07,9,2.0
1000,0.6563549637794495,0.6606407165527344,1.3750000000000002e-05,7.638745307922363,2.0,94.5,93.5,0.0,,,,,,,,,,1.4125000000000002e-07,10,2.0
1100,0.636142373085022,0.6387557983398438,1.4125e-05,9.422441482543945,2.0,100.0,99.0,0.0,,,,,,,,,,1.4537500000000002e-07,11,2.0
1200,0.7134808897972107,0.7208642959594727,1.4500000000000002e-05,8.310197830200195,2.0,83.5,81.0,0.0,,,,,,,,,,1.4950000000000004e-07,12,2.0
1300,0.6881363987922668,0.6964707374572754,1.4875e-05,8.17002010345459,2.0,89.0,85.5,0.0,,,,,,,,,,1.5362500000000003e-07,13,2.0
1400,0.7298630475997925,0.7336165904998779,1.5250000000000003e-05,8.63286304473877,2.0,76.0,74.5,0.0,,,,,,,,,,1.5775000000000002e-07,14,2.0
1500,0.7774180173873901,0.783708930015564,1.5625e-05,7.875622749328613,2.0,66.5,65.0,0.0,,,,,,,,,,1.61875e-07,15,2.0
1600,0.7427076101303101,0.7506669759750366,1.6000000000000003e-05,7.891791820526123,2.0,75.0,73.0,0.0,,,,,,,,,,1.66e-07,16,2.0
1700,0.7365471124649048,0.745735764503479,1.6375e-05,9.322088241577148,2.0,76.0,74.0,0.0,,,,,,,,,,1.7012500000000002e-07,17,2.0
1800,0.6936837434768677,0.6989454030990601,1.675e-05,10.036514282226562,2.0,86.5,84.5,0.0,,,,,,,,,,1.7425000000000002e-07,18,2.0
1900,0.7582383155822754,0.7618849277496338,1.7125000000000003e-05,9.124443054199219,2.0,68.5,67.5,0.0,,,,,,,,,,1.78375e-07,19,2.0
2000,0.69893878698349,0.6976011991500854,1.75e-05,10.320643424987793,2.0,85.5,85.5,0.0,,,,,,,,,,1.8250000000000003e-07,20,2.0
2100,0.7355321645736694,0.7461497783660889,1.7875000000000004e-05,11.655487060546875,2.0,78.0,75.0,0.0,,,,,,,,,,1.86625e-07,21,2.0
2200,0.6867055892944336,0.6905620098114014,1.825e-05,9.343798637390137,2.0,86.5,85.0,0.0,,,,,,,,,,1.9075000000000004e-07,22,2.0
2300,0.7276520729064941,0.7313182353973389,1.8625000000000002e-05,10.947050094604492,2.0,78.0,76.5,0.0,,,,,,,,,,1.94875e-07,23,2.0
2400,0.702097475528717,0.7136024236679077,1.9e-05,11.502177238464355,2.0,86.5,83.0,0.0,,,,,,,,,,1.9900000000000002e-07,24,2.0
2500,0.7192403674125671,0.7223196029663086,1.9375e-05,10.990378379821777,2.0,80.5,78.5,0.0,,,,,,,,,,2.03125e-07,25,2.0
2600,0.7261124849319458,0.7343708276748657,1.9750000000000002e-05,12.407966613769531,2.0,77.5,74.0,0.0,,,,,,,,,,2.0725000000000003e-07,26,2.0
2700,0.756030797958374,0.7639230489730835,2.0125e-05,11.479491233825684,2.0,72.5,70.0,0.0,,,,,,,,,,2.1137500000000002e-07,27,2.0
2800,0.7330495119094849,0.7390497326850891,2.0500000000000004e-05,13.70983600616455,2.0,76.5,74.5,0.0,,,,,,,,,,2.1550000000000002e-07,28,2.0
2900,0.7569587230682373,0.7692503929138184,2.0875e-05,11.988723754882812,2.0,71.5,69.0,0.0,,,,,,,,,,2.19625e-07,29,2.0
3000,0.7411901950836182,0.7476779222488403,2.1250000000000005e-05,13.527458190917969,2.0,74.0,71.0,0.0,,,,,,,,,,2.2375e-07,30,2.0
3100,0.7078503370285034,0.7115660905838013,2.1625000000000004e-05,15.636667251586914,2.0,81.5,80.0,0.0,,,,,,,,,,2.2787500000000005e-07,31,2.0
3200,0.7459027171134949,0.7599648237228394,2.2000000000000003e-05,12.4262056350708,2.0,74.0,69.5,0.0,,,,,,,,,,2.32e-07,32,2.0
3300,0.7522151470184326,0.7711225748062134,2.2375000000000002e-05,13.562323570251465,2.0,72.0,66.5,0.0,,,,,,,,,,2.3612500000000003e-07,33,2.0
3400,0.7698085904121399,0.7728725671768188,2.275e-05,13.159192085266113,2.0,67.5,65.5,0.0,,,,,,,,,,2.4025e-07,34,2.0
3500,0.7398144006729126,0.7431203126907349,2.3125000000000003e-05,14.413581848144531,2.0,72.5,71.0,0.0,,,,,,,,,,2.4437500000000004e-07,35,2.0
3600,0.7528045773506165,0.7557210922241211,2.3500000000000002e-05,13.550559997558594,2.0,70.0,69.0,0.0,,,,,,,,,,2.485e-07,36,2.0
3700,0.7381008863449097,0.749845027923584,2.3875000000000004e-05,12.149361610412598,2.0,76.0,73.0,0.0,,,,,,,,,,2.5262500000000003e-07,37,2.0
3800,0.7536765336990356,0.7595136165618896,2.425e-05,15.731535911560059,2.0,72.0,70.5,0.0,,,,,,,,,,2.5675000000000007e-07,38,2.0
3900,0.7499338984489441,0.7613366842269897,2.4625000000000002e-05,13.123494148254395,2.0,72.0,68.0,0.0,,,,,,,,,,2.60875e-07,39,2.0
4000,0.7550029754638672,0.765023410320282,2.5e-05,12.253944396972656,2.0,73.5,70.0,0.0,,,,,,,,,,2.6500000000000006e-07,40,2.0
4100,0.74776291847229,0.7635751962661743,2.5375000000000004e-05,15.590968132019043,2.0,74.5,70.0,0.0,,,,,,,,,,2.69125e-07,41,2.0
4200,0.795567512512207,0.804450511932373,2.5750000000000002e-05,11.73811149597168,2.0,61.0,57.25,0.0,,,,,,,,,,2.7325000000000004e-07,42,2.0
4300,0.7851341962814331,0.7919992208480835,2.6124999999999998e-05,12.388876914978027,2.0,63.0,60.25,0.0,,,,,,,,,,2.77375e-07,43,2.0
4400,0.7776672840118408,0.7834048867225647,2.6500000000000004e-05,15.557461738586426,2.0,66.0,64.0,0.0,,,,,,,,,,2.815e-07,44,2.0
4500,0.7904040217399597,0.7962547540664673,2.6875000000000006e-05,12.161783218383789,2.0,63.25,61.5,0.0,,,,,,,,,,2.85625e-07,45,2.0
4600,0.7610273361206055,0.7673403024673462,2.725e-05,13.949493408203125,2.0,70.0,68.5,0.0,,,,,,,,,,2.8975e-07,46,2.0
4700,0.773469090461731,0.78187096118927,2.7625e-05,11.113768577575684,2.0,66.0,63.5,0.0,,,,,,,,,,2.9387500000000006e-07,47,2.0
4800,0.7698633074760437,0.7743538618087769,2.8000000000000003e-05,13.410882949829102,2.0,68.0,66.0,0.0,,,,,,,,,,2.9800000000000005e-07,48,2.0
4900,0.767429769039154,0.7726216912269592,2.8375000000000002e-05,12.661432266235352,2.0,69.5,67.5,0.0,,,,,,,,,,3.02125e-07,49,2.0
5000,0.7790182828903198,0.7817062139511108,2.8749999999999997e-05,12.324007987976074,2.0,66.0,65.5,0.0,,,,,,,,,,3.0625000000000003e-07,50,2.0
5100,0.7390455007553101,0.7411009073257446,2.9125000000000003e-05,15.218890190124512,2.0,75.0,74.0,0.0,,,,,,,,,,3.103750000000001e-07,51,2.0
5200,0.7783161401748657,0.7816803455352783,2.9500000000000006e-05,15.90037727355957,2.0,67.0,65.0,0.0,,,,,,,,,,3.145e-07,52,2.0
5300,0.7731450796127319,0.7763904333114624,2.9875000000000004e-05,15.875964164733887,2.0,66.5,65.5,0.0,,,,,,,,,,3.1862500000000006e-07,53,2.0
5400,0.760578989982605,0.7706089019775391,3.025e-05,14.28842830657959,2.0,72.5,68.5,0.0,,,,,,,,,,3.2275e-07,54,2.0
5500,0.8079245090484619,0.8101663589477539,3.0625000000000006e-05,16.15936851501465,2.0,58.75,57.25,0.0,,,,,,,,,,3.2687500000000005e-07,55,2.0
5600,0.7661105990409851,0.7720440030097961,3.100000000000001e-05,14.441261291503906,2.0,68.5,66.5,0.0,,,,,,,,,,3.310000000000001e-07,56,2.0
5700,0.7688232660293579,0.7732164263725281,3.1375e-05,16.62892723083496,2.0,70.0,67.0,0.0,,,,,,,,,,3.3512500000000003e-07,57,2.0
5800,0.7852432131767273,0.7915688157081604,3.175e-05,18.42405128479004,2.0,63.25,60.0,0.0,,,,,,,,,,3.3924999999999997e-07,58,2.0
5900,0.7589735984802246,0.7667958736419678,3.212500000000001e-05,15.260011672973633,2.0,72.0,69.0,0.0,,,,,,,,,,3.43375e-07,59,2.0
6000,0.7426459789276123,0.7502087354660034,3.2500000000000004e-05,16.913864135742188,2.0,72.0,69.0,0.0,,,,,,,,,,3.4750000000000006e-07,60,2.0
6100,0.7754582166671753,0.7828073501586914,3.2875e-05,16.164897918701172,2.0,65.0,61.75,0.0,,,,,,,,,,3.51625e-07,61,2.0
6200,0.7676968574523926,0.7722852230072021,3.325e-05,13.598822593688965,2.0,68.5,66.0,0.0,,,,,,,,,,3.5575000000000005e-07,62,2.0
6300,0.7735882997512817,0.7783820629119873,3.3625000000000004e-05,14.7207670211792,2.0,68.0,67.0,0.0,,,,,,,,,,3.5987500000000004e-07,63,2.0
6400,0.7702405452728271,0.7722377777099609,3.4e-05,12.777762413024902,2.0,67.0,66.0,0.0,,,,,,,,,,3.6400000000000003e-07,64,2.0
6500,0.7731287479400635,0.7825493216514587,3.4375e-05,17.18276023864746,2.0,67.5,64.0,0.0,,,,,,,,,,3.68125e-07,65,2.0
6600,0.7765274047851562,0.7808980941772461,3.4750000000000004e-05,15.4179105758667,2.0,64.5,61.75,0.0,,,,,,,,,,3.7225000000000007e-07,66,2.0
6700,0.8202785849571228,0.8237605094909668,3.512500000000001e-05,12.497958183288574,2.0,53.75,52.0,0.0,,,,,,,,,,3.76375e-07,67,2.0
6800,0.7908725738525391,0.7986965179443359,3.55e-05,15.2788667678833,2.0,62.75,59.5,0.0,,,,,,,,,,3.8050000000000005e-07,68,2.0
6900,0.7750285863876343,0.7791838645935059,3.5875000000000005e-05,16.101696014404297,2.0,67.0,66.0,0.0,,,,,,,,,,3.8462500000000004e-07,69,2.0
7000,0.7745108008384705,0.7768885493278503,3.625000000000001e-05,17.721010208129883,2.0,66.5,64.5,0.0,,,,,,,,,,3.8875000000000004e-07,70,2.0
7100,0.7998352646827698,0.8053449988365173,3.6624999999999996e-05,12.4482421875,2.0,58.5,57.0,0.0,,,,,,,,,,3.928750000000001e-07,71,2.0
7200,0.762383222579956,0.769645094871521,3.7e-05,15.51752758026123,2.0,71.0,68.0,0.0,,,,,,,,,,3.97e-07,72,2.0
7300,0.7697115540504456,0.7805851101875305,3.737500000000001e-05,15.827441215515137,2.0,66.5,61.75,0.0,,,,,,,,,,4.0112500000000007e-07,73,2.0
7400,0.7522707581520081,0.7569385766983032,3.775000000000001e-05,16.713476181030273,2.0,74.5,71.5,0.0,,,,,,,,,,4.0525e-07,74,2.0
7500,0.769336998462677,0.77591472864151,3.8125e-05,18.514453887939453,2.0,69.0,65.5,0.0,,,,,,,,,,4.0937500000000005e-07,75,2.0
7600,0.767449140548706,0.7700262665748596,3.85e-05,16.8565616607666,2.0,69.0,67.0,0.0,,,,,,,,,,4.135000000000001e-07,76,2.0
7700,0.7574722766876221,0.7595007419586182,3.8875e-05,17.3966121673584,2.0,70.5,70.0,0.0,,,,,,,,,,4.1762500000000004e-07,77,2.0
7800,0.7644357085227966,0.7731781005859375,3.925000000000001e-05,14.473559379577637,2.0,69.0,66.5,0.0,,,,,,,,,,4.217500000000001e-07,78,2.0
7900,0.8054503202438354,0.8114659190177917,3.9625e-05,15.531852722167969,2.0,58.5,56.5,0.0,,,,,,,,,,4.25875e-07,79,2.0
8000,0.7506181001663208,0.7547438740730286,4e-05,23.7014102935791,2.0,71.0,69.0,0.0,,,,,,,,,,4.3000000000000007e-07,80,2.0
8100,0.7900638580322266,0.7932603359222412,4.0375000000000006e-05,18.79005241394043,2.0,61.5,60.75,0.0,,,,,,,,,,4.341250000000001e-07,81,2.0
8200,0.7976679801940918,0.8002225160598755,4.075e-05,13.50083065032959,2.0,60.0,59.25,0.0,,,,,,,,,,4.3825000000000005e-07,82,2.0
8300,0.7696149349212646,0.775897204875946,4.1125000000000004e-05,15.904406547546387,2.0,68.5,66.0,0.0,,,,,,,,,,4.4237500000000004e-07,83,2.0
8400,0.7864819169044495,0.7866799831390381,4.1500000000000006e-05,16.532743453979492,2.0,65.0,62.5,0.0,,,,,,,,,,4.4650000000000003e-07,84,2.0
8500,0.7619866728782654,0.7722388505935669,4.187500000000001e-05,22.2545166015625,2.0,71.5,68.0,0.0,,,,,,,,,,4.5062500000000003e-07,85,2.0
8600,0.7852715849876404,0.7886927723884583,4.2250000000000004e-05,16.625537872314453,2.0,64.5,63.25,0.0,,,,,,,,,,4.5475000000000007e-07,86,2.0
8700,0.7783644199371338,0.7815865278244019,4.2625000000000006e-05,14.659700393676758,2.0,66.0,64.0,0.0,,,,,,,,,,4.58875e-07,87,2.0
8800,0.7950317859649658,0.7979955673217773,4.2999999999999995e-05,13.913687705993652,2.0,61.0,59.5,0.0,,,,,,,,,,4.6300000000000006e-07,88,2.0
8900,0.8084359765052795,0.808637261390686,4.337500000000001e-05,18.542905807495117,2.0,58.5,57.25,0.0,,,,,,,,,,4.671250000000001e-07,89,2.0
9000,0.8020796179771423,0.8018591403961182,4.375e-05,15.583640098571777,2.0,59.5,58.75,0.0,,,,,,,,,,4.7125000000000004e-07,90,2.0
9100,0.7736389636993408,0.7764073014259338,4.4125e-05,18.00816535949707,2.0,69.0,67.0,0.0,,,,,,,,,,4.753750000000001e-07,91,2.0
9200,0.7671337127685547,0.7689121961593628,4.450000000000001e-05,16.69711685180664,2.0,69.5,68.0,0.0,,,,,,,,,,4.795e-07,92,2.0
9300,0.8004127144813538,0.8037183284759521,4.4875e-05,15.019442558288574,2.0,59.5,58.75,0.0,,,,,,,,,,4.836250000000001e-07,93,2.0
9400,0.7894467115402222,0.791427731513977,4.525e-05,18.080677032470703,2.0,63.25,62.75,0.0,,,,,,,,,,4.877500000000001e-07,94,2.0
9500,0.7934359312057495,0.8048804998397827,4.5625000000000004e-05,17.69289207458496,2.0,64.0,59.75,0.0,,,,,,,,,,4.918750000000001e-07,95,2.0
9600,0.8013736605644226,0.8074948787689209,4.600000000000001e-05,14.765288352966309,2.0,58.75,56.25,0.0,,,,,,,,,,4.960000000000001e-07,96,2.0
9700,0.7760930061340332,0.7779606580734253,4.6375e-05,14.235771179199219,2.0,66.5,66.0,0.0,,,,,,,,,,5.00125e-07,97,2.0
9800,0.7776230573654175,0.7801555395126343,4.6750000000000005e-05,20.867938995361328,2.0,66.5,65.0,0.0,,,,,,,,,,5.0425e-07,98,2.0
9900,0.7832802534103394,0.7853842973709106,4.7125e-05,22.081863403320312,2.0,67.0,65.5,0.0,,,,,,,,,,5.08375e-07,99,2.0
9950,,,,,,,,,0.15396907925605774,0.33143672347068787,0.06543631851673126,0.1816657930612564,0.1296757608652115,0.2378549575805664,0.28495731949806213,0.16727839410305023,0.22775162756443024,,100,
10000,0.807508111000061,0.8085857629776001,4.75e-05,14.033705711364746,2.0,58.75,58.25,0.16727839410305023,,,,,,,,,,5.125e-07,101,2.0
10100,0.8250355124473572,0.8299304842948914,4.7875000000000005e-05,13.687326431274414,2.0,53.5,50.75,0.16727839410305023,,,,,,,,,,5.16625e-07,102,2.0
10200,0.8090877532958984,0.8125593066215515,4.825000000000001e-05,13.6285982131958,2.0,58.75,56.5,0.16727839410305023,,,,,,,,,,5.207500000000001e-07,103,2.0
10300,0.7742520570755005,0.7765201330184937,4.8624999999999996e-05,20.589147567749023,2.0,67.0,66.0,0.16727839410305023,,,,,,,,,,5.24875e-07,104,2.0
10400,0.794938325881958,0.8145202398300171,4.9e-05,11.828947067260742,2.0,60.5,55.25,0.16727839410305023,,,,,,,,,,5.29e-07,105,2.0
10500,0.8091832399368286,0.8120238780975342,4.937500000000001e-05,16.698617935180664,2.0,59.0,57.75,0.16727839410305023,,,,,,,,,,5.331250000000001e-07,106,2.0
10600,0.7938282489776611,0.8025563955307007,4.975000000000001e-05,17.326631546020508,2.0,59.5,57.0,0.16727839410305023,,,,,,,,,,5.3725e-07,107,2.0
10700,0.7591879963874817,0.7694404125213623,5.012500000000001e-05,13.03079891204834,2.0,69.5,66.5,0.16727839410305023,,,,,,,,,,5.413750000000001e-07,108,2.0
10800,0.7992000579833984,0.8060512542724609,5.05e-05,16.754108428955078,2.0,60.0,58.25,0.16727839410305023,,,,,,,,,,5.455e-07,109,2.0
10900,0.8123713731765747,0.8168550729751587,5.0875e-05,15.333605766296387,2.0,56.75,55.25,0.16727839410305023,,,,,,,,,,5.49625e-07,110,2.0
11000,0.7773466110229492,0.7830370664596558,5.125e-05,13.501940727233887,2.0,67.5,65.5,0.16727839410305023,,,,,,,,,,5.537500000000001e-07,111,2.0
11100,0.7682381868362427,0.7770330905914307,5.1625e-05,15.591435432434082,2.0,69.0,66.5,0.16727839410305023,,,,,,,,,,5.57875e-07,112,2.0
11200,0.7776769995689392,0.7794131636619568,5.2000000000000004e-05,20.45464515686035,2.0,64.0,61.75,0.16727839410305023,,,,,,,,,,5.620000000000001e-07,113,2.0
11300,0.8047093749046326,0.8084158897399902,5.2375000000000006e-05,13.115225791931152,2.0,57.5,56.0,0.16727839410305023,,,,,,,,,,5.66125e-07,114,2.0
11400,0.7890862822532654,0.7938714623451233,5.275e-05,18.51105308532715,2.0,63.0,60.25,0.16727839410305023,,,,,,,,,,5.702500000000001e-07,115,2.0
11500,0.7654513716697693,0.7700580358505249,5.3125000000000004e-05,16.820255279541016,2.0,67.5,66.0,0.16727839410305023,,,,,,,,,,5.743750000000001e-07,116,2.0
11600,0.7902917265892029,0.7937568426132202,5.3500000000000006e-05,15.300539016723633,2.0,60.75,59.5,0.16727839410305023,,,,,,,,,,5.785e-07,117,2.0
11700,0.8120441436767578,0.8191773295402527,5.3874999999999995e-05,15.611639976501465,2.0,56.0,53.0,0.16727839410305023,,,,,,,,,,5.826250000000001e-07,118,2.0
11800,0.7860854864120483,0.7896292805671692,5.4250000000000004e-05,14.718667984008789,2.0,62.5,61.0,0.16727839410305023,,,,,,,,,,5.8675e-07,119,2.0
11900,0.7735270261764526,0.7801659107208252,5.4625000000000006e-05,23.376447677612305,2.0,70.0,67.5,0.16727839410305023,,,,,,,,,,5.908750000000001e-07,120,2.0
12000,0.8121035099029541,0.8111041188240051,5.500000000000001e-05,18.117046356201172,2.0,58.0,57.25,0.16727839410305023,,,,,,,,,,5.950000000000001e-07,121,2.0
12100,0.7955324649810791,0.8029927015304565,5.5375e-05,17.73092269897461,2.0,63.5,61.25,0.16727839410305023,,,,,,,,,,5.991250000000001e-07,122,2.0
12200,0.8055099844932556,0.8119099140167236,5.575e-05,15.828482627868652,2.0,58.5,56.5,0.16727839410305023,,,,,,,,,,6.032500000000001e-07,123,2.0
12300,0.8376986980438232,0.8398631811141968,5.6125e-05,13.637733459472656,2.0,49.0,46.75,0.16727839410305023,,,,,,,,,,6.07375e-07,124,2.0
12400,0.7995115518569946,0.8065125942230225,5.650000000000001e-05,15.739648818969727,2.0,60.5,57.75,0.16727839410305023,,,,,,,,,,6.115000000000001e-07,125,2.0
12500,0.8182106018066406,0.8196979761123657,5.6875000000000014e-05,19.417804718017578,2.0,56.0,55.0,0.16727839410305023,,,,,,,,,,6.156250000000001e-07,126,2.0
12600,0.8125432729721069,0.8166804313659668,5.725e-05,18.42349624633789,2.0,56.0,54.0,0.16727839410305023,,,,,,,,,,6.197500000000001e-07,127,2.0
12700,0.8345767259597778,0.8407217860221863,5.7625000000000005e-05,14.412152290344238,2.0,51.75,49.75,0.16727839410305023,,,,,,,,,,6.238750000000001e-07,128,2.0
12800,0.8165191411972046,0.8261591196060181,5.8e-05,21.184045791625977,2.0,56.0,51.5,0.16727839410305023,,,,,,,,,,6.28e-07,129,2.0
12900,0.8049788475036621,0.8130322694778442,5.8375e-05,16.779706954956055,2.0,57.5,54.0,0.16727839410305023,,,,,,,,,,6.32125e-07,130,2.0
13000,0.8142700791358948,0.8181936144828796,5.8750000000000005e-05,16.000255584716797,2.0,56.25,54.5,0.16727839410305023,,,,,,,,,,6.3625e-07,131,2.0
13100,0.8081765174865723,0.8125836253166199,5.9124999999999994e-05,13.733553886413574,2.0,56.0,53.25,0.16727839410305023,,,,,,,,,,6.40375e-07,132,2.0
13200,0.7883437275886536,0.79087233543396,5.950000000000001e-05,24.06546401977539,2.0,63.0,61.25,0.16727839410305023,,,,,,,,,,6.445e-07,133,2.0
13300,0.809424638748169,0.8082054853439331,5.9875000000000005e-05,20.023757934570312,2.0,57.0,56.25,0.16727839410305023,,,,,,,,,,6.486250000000001e-07,134,2.0
13400,0.7945542931556702,0.795891523361206,6.025000000000001e-05,21.302671432495117,2.0,60.25,57.75,0.16727839410305023,,,,,,,,,,6.5275e-07,135,2.0
13500,0.8124108910560608,0.8140169382095337,6.0624999999999996e-05,15.710043907165527,2.0,55.75,54.0,0.16727839410305023,,,,,,,,,,6.568750000000001e-07,136,2.0
13600,0.7985697984695435,0.8000397682189941,6.1e-05,16.680496215820312,2.0,60.25,59.5,0.16727839410305023,,,,,,,,,,6.61e-07,137,2.0
13700,0.814725399017334,0.8197846412658691,6.1375e-05,12.544235229492188,2.0,55.5,54.0,0.16727839410305023,,,,,,,,,,6.65125e-07,138,2.0
13800,0.7787002325057983,0.7860229015350342,6.175e-05,17.254112243652344,2.0,66.0,62.75,0.16727839410305023,,,,,,,,,,6.6925e-07,139,2.0
13900,0.7927075624465942,0.7936562895774841,6.2125e-05,18.504796981811523,2.0,61.25,60.25,0.16727839410305023,,,,,,,,,,6.73375e-07,140,2.0
14000,0.7986786365509033,0.8023526668548584,6.25e-05,15.76836109161377,2.0,58.5,56.5,0.16727839410305023,,,,,,,,,,6.775000000000001e-07,141,2.0
14100,0.8052290081977844,0.8049076795578003,6.287500000000001e-05,16.30182456970215,2.0,56.75,57.0,0.16727839410305023,,,,,,,,,,6.81625e-07,142,2.0
14200,0.7867757081985474,0.790310263633728,6.324999999999999e-05,19.559057235717773,2.0,61.5,59.5,0.16727839410305023,,,,,,,,,,6.857500000000001e-07,143,2.0
14300,0.8169180154800415,0.8174097537994385,6.3625e-05,14.4583101272583,2.0,54.75,53.25,0.16727839410305023,,,,,,,,,,6.89875e-07,144,2.0
